"Guid","SBQQ__LookupField__c","SBQQ__MatchType__c","SBQQ__Operator__c","SBQQ__PriceRule2__c","SBQQ__ProductRule__c","SBQQ__TestedConfigurationAttribute__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedValue__c"
011f1b73-1173-48ca-a4c3-b3c4241ada8d,Upper_Bound_Percent__c,Field Value,less than,e4bab9ba-ebde-4cb4-bd3b-cb79a0a6f0b1,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
0126a34d-a95c-4ee3-b222-0075cd682247,Approval_Level__c,Static Value,equals,4dab91c9-1283-47dc-b32d-72851ca5575f,"#N/A","#N/A","#N/A","#N/A",2
03f53498-7f8e-4e45-8538-58c9cdc98527,Approval_Level__c,Static Value,equals,e5238562-9a48-4b73-bcd1-4cdd6f4f5894,"#N/A","#N/A","#N/A","#N/A",3
049b7728-09ed-435e-8abc-9bbbbd38427c,Engineering_Options__c,Field Value,equals,61596c48-d516-426f-a35f-f75552a7a490,"#N/A","#N/A",Engineering_Options__c,Quote Line,"#N/A"
064e0a13-a510-4526-a33b-53782e8f6e49,Approval_Level__c,Static Value,equals,d063abc8-9350-498b-a357-9a052398f914,"#N/A","#N/A","#N/A","#N/A",3
08126006-17db-4946-91ba-d424159c7eed,Role__c,Field Value,equals,5f655381-0e16-4ba0-b7bb-b7ca99ab9207,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
0947f1c3-58aa-4baf-956b-4d08271c635a,Role__c,Field Value,equals,6f15be1e-4614-4acf-973b-69d5232d1cff,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
09e624f1-6b3d-472c-b0b0-321c620dea70,Resource_Location__c,Field Value,equals,38427fe3-ce7d-4204-b425-e992b504c3fc,"#N/A","#N/A",Resource_Location__c,Quote Line,"#N/A"
0f0f1f67-ac3e-46c1-b918-59d64188e79d,Product__c,Field Value,equals,d7d8d870-b784-49d5-a3ec-2a6b6bc64a37,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
1338ba94-b0fd-4955-bb5b-e6ccdd732267,Product__c,Field Value,equals,cdec61d1-7252-499e-841a-fa5a43a6f1bf,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
13a5e93d-0c08-4e7c-a312-837b337fe1b8,Approval_Level__c,Static Value,equals,134476a1-43f8-4de4-bad0-c3107f6676da,"#N/A","#N/A","#N/A","#N/A",3
14077aea-70b1-4aac-ab0d-5c5d501c97a7,Engineering_Options__c,Field Value,equals,05d69b06-5a94-47ec-b8f9-9d0fef5b6bef,"#N/A","#N/A",Engineering_Options__c,Quote Line,"#N/A"
1a000963-4d5b-440a-9ead-171bdf15e772,Approval_Level__c,Static Value,equals,a770d143-e8de-4cb7-b158-ca1489cf8132,"#N/A","#N/A","#N/A","#N/A",1
1d29d7e2-d829-4e2f-81d1-d592b727215c,Product__c,Field Value,equals,24ce5f66-d1a8-439b-a728-a60ee5cbf2da,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
1df00239-449d-4af3-966a-b1a9fa8bcbf9,Approval_Level__c,Static Value,equals,d7d8d870-b784-49d5-a3ec-2a6b6bc64a37,"#N/A","#N/A","#N/A","#N/A",1
21306ac9-cce5-40ec-b6d6-77acdfa66df2,Lower_Bound_Percent__c,Field Value,greater or equals,6a25804c-72ee-47d5-b000-a9f1bc87e0ab,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
2381ab90-8d9b-42d9-9445-e5f1db4bb1a1,Approval_Level__c,Static Value,equals,38733b40-2b83-44c3-8223-6d92166ec54a,"#N/A","#N/A","#N/A","#N/A",2
24b8e10b-4867-4f24-978b-70763eb49b2f,Approval_Level__c,Static Value,equals,252f17d3-5a77-489c-9c15-e8044aa5dc91,"#N/A","#N/A","#N/A","#N/A",3
28e6bfd4-73e9-4806-a858-f8852c81f865,Resource_Location__c,Field Value,equals,f45e22db-8320-4823-9b28-b2b71b5bf6ea,"#N/A","#N/A",Resource_Location__c,Quote Line,"#N/A"
2939f41d-187b-4e54-8317-362f64f0c050,Approval_Level__c,Static Value,equals,a04f043f-3e80-43be-8687-cd522c463d55,"#N/A","#N/A","#N/A","#N/A",1
30515e6a-cb55-4fa9-abe6-a6a6e66b6fa8,Product__c,Field Value,equals,e5238562-9a48-4b73-bcd1-4cdd6f4f5894,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
32e2cff9-99ae-4919-994c-18656edd1072,Resource_Location__c,Field Value,equals,6f15be1e-4614-4acf-973b-69d5232d1cff,"#N/A","#N/A",Resource_Location__c,Quote Line,"#N/A"
353abb89-65ac-44cc-b1cd-b51cf3e91a9b,Approval_Level__c,Static Value,equals,23b4cb4d-2c9c-48b9-95f8-937bc439c764,"#N/A","#N/A","#N/A","#N/A",2
3cb0e0a2-04b3-48d1-b149-ad30565a2b2c,Product__c,Field Value,equals,252f17d3-5a77-489c-9c15-e8044aa5dc91,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
423b9658-3dc5-46b7-b783-1f031f35c96b,Approval_Level__c,Static Value,equals,8f0bf237-ad59-43f0-ab3d-ceda03b348a9,"#N/A","#N/A","#N/A","#N/A",2
430623d2-859c-4ab0-80c5-ff2d0467a493,Product__c,Field Value,equals,341fb15e-559f-4ae5-8073-265c75022f5e,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
430e890f-c97e-426f-9ce7-be0930ce0ca4,Role__c,Field Value,equals,69341a66-7f26-443e-8579-a9a9e87e764e,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
46689cf8-2e40-4195-8038-a51dfc5890d1,Threshold_Type__c,Static Value,equals,cdec61d1-7252-499e-841a-fa5a43a6f1bf,"#N/A","#N/A","#N/A","#N/A",Discount
47c3135e-91d2-439b-92d0-f70a57de1dd0,Product__c,Field Value,equals,4dab91c9-1283-47dc-b32d-72851ca5575f,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
49b607fa-0789-494a-8435-122d21fa9e71,Product__c,Field Value,equals,23b4cb4d-2c9c-48b9-95f8-937bc439c764,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
4a3c6887-eb2b-46a2-adbf-414866ef8247,Product__c,Field Value,equals,38733b40-2b83-44c3-8223-6d92166ec54a,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
5819b388-d0e4-4775-9354-2f2757fd1419,Upper_Bound_Percent__c,Field Value,less than,ae5b8c28-ff93-40c9-af24-d60f63fba585,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
58e564c1-6a76-426a-9b07-411586088a72,Product__c,Field Value,equals,0afba7ef-f069-48a9-85b6-087812a8de16,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
5aebbe8b-b4bb-4fc9-a833-b34e32830a7e,Approval_Level__c,Static Value,equals,0afba7ef-f069-48a9-85b6-087812a8de16,"#N/A","#N/A","#N/A","#N/A",1
5d41aa70-6c1b-4508-bc57-692d47fa1a07,Product__c,Field Value,equals,43e9f902-270f-41cb-8801-f6d540d4c00f,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
5f6dc9df-01e7-42bb-a6d2-e13a0c476c4e,Lower_Bound_Percent__c,Field Value,greater or equals,e4bab9ba-ebde-4cb4-bd3b-cb79a0a6f0b1,"#N/A","#N/A",Discretionary_Discount_Decimal__c,Quote Line,"#N/A"
60f1a0ec-3a02-4ffc-9488-629632e09777,Threshold_Type__c,Static Value,equals,6a25804c-72ee-47d5-b000-a9f1bc87e0ab,"#N/A","#N/A","#N/A","#N/A",Discount
61148da5-a1c3-4693-998e-a326d9ebb2c1,Approval_Level__c,Static Value,equals,d7dc9e95-4000-4d63-b5e6-2b0e357226c1,"#N/A","#N/A","#N/A","#N/A",2
623620fb-c31d-41c6-b040-f295569f63e6,Resource_Location__c,Field Value,equals,5f655381-0e16-4ba0-b7bb-b7ca99ab9207,"#N/A","#N/A",Resource_Location__c,Quote Line,"#N/A"
68375c6b-fe18-418f-b63d-8def3dfa5978,Resource_Location__c,Field Value,equals,d92cd1a8-0687-4916-9651-1642e4b90baa,"#N/A","#N/A",Resource_Location__c,Quote Line,"#N/A"
68f38ee2-9f44-4e6b-9ecf-80ed9f801c57,Product__c,Field Value,equals,d7dc9e95-4000-4d63-b5e6-2b0e357226c1,"#N/A","#N/A",SBQQ__Product__c,Quote Line,"#N/A"
