"Guid","SBQQ__Field__c","SBQQ__Formula__c","SBQQ__Order__c","SBQQ__Rule__c","SBQQ__SourceLookupField__c","SBQQ__SourceVariable__c","SBQQ__TargetObject__c","SBQQ__ValueField__c","SBQQ__Value__c"
01c02d0d-e414-4a2f-8d8e-228da7ffa32d,SBQQ__Quantity__c,Protected_Devices__c,1.0,6f68e009-99f0-47df-9d3d-833a1aef9953,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
02b46582-18a4-4468-90d6-c4a0b0d3f48c,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,cdec61d1-7252-499e-841a-fa5a43a6f1bf,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
0444f7a1-d289-43ad-ba14-f05b2eec5b32,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))","#N/A",8c182b35-7249-457f-a7df-0e920c7ec784,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
0872073a-9b57-467f-82eb-f80a25bc7bf6,Discount (%),"#N/A","#N/A",ecd9d838-801c-4e1d-8c09-6774e49f4d38,"#N/A","#N/A",Quote Line,"#N/A",45
0c3c4d99-981f-47ca-a81a-a46bcbc6dc4f,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",ceb2f978-44fe-44b1-93f2-e6c9c1eac1f9,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
1186b14d-fe94-4ba1-a1a5-0fe9244b51f9,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,81c54288-683e-40de-8e20-e2204774ebaa,"#N/A","#N/A",Product Option,"#N/A","#N/A"
14b7ccde-70db-47ce-9a6a-cdd903d7075f,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,44d27735-6eba-4afb-8c78-a35c3ccf5bf7,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
2112d558-e142-498a-9df9-cf161e7f6f0c,Discount (%),"#N/A","#N/A",57e68399-bafa-4299-9692-da58f96be274,"#N/A","#N/A",Quote Line,"#N/A",45
23b7e5b8-43ac-42cb-8b1c-0e1dfa57c846,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))","#N/A",aedf48d7-ba86-4403-8483-2191d43104dd,"#N/A","#N/A",Quote Line,"#N/A","#N/A"
2a96ae83-6b55-41bc-b1a2-d49acc75fd40,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,5c6150bd-cd11-4f13-be4c-6c5879a06ecd,"#N/A","#N/A",Product Option,"#N/A","#N/A"
