"Guid","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
01e8fd72-eaa2-4ee4-ac04-421499195eaf,false,"#N/A",7073C00001um3Hc,"#N/A",a343C000000itGHQAY::QuoteCalculator,"#N/A","#N/A"
06be790f-b940-4401-adb1-712c47c589ba,false,"#N/A",7073C00001rVDyz,"#N/A",a2H3C0000018MTXUA2::CustomScriptTranspiler,"#N/A","#N/A"
0925776b-2eb8-4e60-9fbd-6149514758cd,false,"#N/A","#N/A",Completed,a344x0000000vW7AAI::QuoteCalculator,"#N/A","#N/A"
10690117-2128-4b8b-81d1-61a353ff81c9,false,"#N/A",7073C00001um3BS,"#N/A",a2H3C0000018NrcUAE::CustomScriptTranspiler,"#N/A","#N/A"
1c3a2223-1478-4d80-90ff-8c55af8a8721,false,"#N/A",7073C00001um3BS,"#N/A",a2H3C0000018NraUAE::CustomScriptTranspiler,"#N/A","#N/A"
21493762-f6b0-4f38-a750-b4f1b2a58b97,true,"#N/A",7075f000001nCZy,"#N/A",a344x0000000vW7AAI::QuoteDocumentService,"#N/A","#N/A"
30a6d2ad-ac86-421e-af12-bb5f41a767eb,false,"#N/A",7073C00001um3Hc,"#N/A",a343C000000itGBQAY::QuoteCalculator,"#N/A","#N/A"
34f4368d-8f1d-4331-b850-6c3ef6689839,false,"#N/A",7073C00001um3Hc,"#N/A",a343C000000itGGQAY::QuoteCalculator,"#N/A","#N/A"
3a67617f-9592-4137-a4de-c6aaf3277522,true,"#N/A",7075f000006p5Hx,"#N/A",a345f000000cEPIAA2::QuoteCalculator,"#N/A","#N/A"
3b4ef6bd-9f28-4a9e-97de-c525014bf5b5,false,"#N/A","#N/A",Completed,a344x0000000vWMAAY::QuoteCalculator,"#N/A","#N/A"
41705ecc-4a8c-4d6b-be07-ab29406e32cf,false,"#N/A",7073C00001rVDyz,"#N/A",a2H3C0000018MTWUA2::CustomScriptTranspiler,"#N/A","#N/A"
4f23714a-b743-4cea-b8ba-0aa02a794aa9,false,"#N/A",7073C00001rVDyz,"#N/A",a2H3C0000018MTUUA2::CustomScriptTranspiler,"#N/A","#N/A"
5d7abbec-f173-4919-a4e9-6e00285cca02,false,"#N/A",7073C00001um3Hc,"#N/A",a343C000000itGAQAY::QuoteCalculator,"#N/A","#N/A"
73d6148b-9e50-4bce-b4b2-2401965c7ef0,false,"#N/A",7073C00001um3Hc,"#N/A",a343C000000itGFQAY::QuoteCalculator,"#N/A","#N/A"
80baf060-38b5-4e97-ba36-9f5b4e1cc828,false,"#N/A",7075f000001nCZx,"#N/A",a344x0000000vWWAAY::QuoteCalculator,"#N/A","#N/A"
8c189dab-99ca-434c-b5e7-7dd805dd355d,false,"#N/A",7073C00001um3BS,"#N/A",a2H3C0000018NrbUAE::CustomScriptTranspiler,"#N/A","#N/A"
91a6366b-c01f-4f69-9917-31aa6e2ae4b2,false,"#N/A",7073C00001um3BS,"#N/A",a2H3C0000018NrZUAU::CustomScriptTranspiler,"#N/A","#N/A"
9d7e510d-283b-436d-9a66-ce18caa3ded4,false,"#N/A",7073C00001um3Hc,"#N/A",a343C000000itGCQAY::QuoteCalculator,"#N/A","#N/A"
9d880cff-1f2d-43a9-8b3d-b88a1fd8ef58,false,"#N/A",7075f000001nCZw,Completed,a344x0000000vWHAAY::QuoteCalculator,"#N/A","#N/A"
cdb8b7e8-8c9d-4abc-821b-9c19d1469d62,false,"#N/A",7073C00001rVDyz,"#N/A",a2H3C0000018MTVUA2::CustomScriptTranspiler,"#N/A","#N/A"
e266cc1e-e9dc-4dcb-8e90-fb088347f2a4,false,"#N/A","#N/A",Completed,a344x0000000vWRAAY::QuoteCalculator,"#N/A","#N/A"
e683808e-8aa1-4446-843d-46ca2487a5a5,false,"#N/A",7073C00001um3Hc,"#N/A",a343C000000itGDQAY::QuoteCalculator,"#N/A","#N/A"
ede6e02d-37ed-4b71-a094-30487f906b6e,false,"#N/A",7075f000001nCZv,Completed,a344x0000000vWCAAY::QuoteCalculator,"#N/A","#N/A"
fc01ad74-b272-4250-8077-558f8ebea380,false,"#N/A",7075f000001nCZu,"#N/A",a344x0000000vMeAAI::QuoteCalculator,"#N/A","#N/A"
